S. No.,State,Destination,LATITUDE,LONGITUDE
31,Tamil nadu,Thanjavur,10.659037,79.2014278
31,Tamil nadu,Hogenakkal,12.1214298,77.7776786
31,Tamil nadu,Kumbakonam,10.9604108,79.3820861
31,Tamil nadu,Kancheepuram,12.8796051,79.7042762
31,Tamil nadu,Chidambaram,11.3920706,79.703025
31,Tamil nadu,Yercand,11.3958,76.6932
31,Tamil nadu,Courtallam,8.9402,77.2686
31,Tamil nadu,Mamallapuram,12.6229,80.1932
31,Tamil nadu,Velankanni,10.6818,79.8497
31,Tamil nadu,Nagore,10.8152,79.8543
31,Tamil nadu,Tiruttani,13.1751,79.6167
31,Tamil nadu,Coonoor,11.3501,76.7953
31,Tamil nadu,Elagiri,12.589316,78.6323577
31,Tamil nadu,Poompuhar,11.1452914,79.8537308
31,Tamil nadu,Mudumalai,11.6191251,76.474585
31,Tamil nadu,Pitchavaram,11.4378834,79.7190622
31,Tamil nadu,Panchalankurichi,8.6391,77.8666
32,Tripura,Agartala,23.8312377,91.2823821
33,Uttar Pradesh,Allahabad,25.4381302,81.8338005
33,Uttar Pradesh,Ayodhya,26.7990707,82.2052321
33,Uttar Pradesh,Govardhan,27.497349,77.4611872
33,Uttar Pradesh,Agra,27.1752554,78.0098161
33,Uttar Pradesh,Mathura,27.4955539,77.6855554
33,Uttar Pradesh,Chitrakut,25.2173874,80.9236326
33,Uttar Pradesh,Varanasi,25.3356491,83.0076292
33,Uttar Pradesh,Lucknow,26.8381,80.9346001
33,Uttar Pradesh,Radhakund,27.5395058,77.521545
33,Uttar Pradesh,Vrindavan,27.5753726,77.6938045
33,Uttar Pradesh,Vindhyachal,25.1643804,82.5043173
33,Uttar Pradesh,Shakumbari Devi,29.9672,77.6772
33,Uttar Pradesh,Soraun (Etah),27.5591,78.6621
33,Uttar Pradesh,Barsana,27.6481353,77.3764667
33,Uttar Pradesh,Brajghat (Garhmukteshwar),28.7896,78.0962
33,Uttar Pradesh,Astabhuja,25.1452,82.5732
33,Uttar Pradesh,Kusum Sarovar,27.5119727,77.4783716
33,Uttar Pradesh,Gorakhpur,26.6677977,83.3642334
33,Uttar Pradesh,Mau,26.0390904,83.4985846
33,Uttar Pradesh,Jhansi,25.529855,78.6527802
33,Uttar Pradesh,Nandgaon,27.7109688,77.3856842
33,Uttar Pradesh,Mahadeva (Barabank),26.9636,81.1892
33,Uttar Pradesh,Baliya,25.8749594,84.1210329
33,Uttar Pradesh,Meerut,29.0018557,77.7679671
33,Uttar Pradesh,Garhmukteshwar (Panchsil Nagar),28.7896,78.0962
33,Uttar Pradesh,Sarnath,25.3776274,83.0275999
33,Uttar Pradesh,Bhairav Deo Sthal Azamgarh,26.0676,83.1836
33,Uttar Pradesh,Bareilly,28.4582344,79.4047452
33,Uttar Pradesh,Gokul,27.439072,77.7203733
33,Uttar Pradesh,Hasitnapur,29.1621,78.0162
33,Uttar Pradesh,Kalpi (Jalaun),26.1216714,79.7458188
33,Uttar Pradesh,Vidurkuty,25.1556,82.5732
33,Uttar Pradesh,Charkhari,25.4149429,79.7494938
33,Uttar Pradesh,Azangarh,26.0676,83.1836
33,Uttar Pradesh,Naraura,27.1855541,81.9564879
33,Uttar Pradesh,Lalitpur,24.6999688,78.51862
33,Uttar Pradesh,Shukratal,29.4491,78.0957
33,Uttar Pradesh,Gaziyabad,28.6692,77.4538
33,Uttar Pradesh,Kushinagr(Padrauna),26.7397,83.8872
33,Uttar Pradesh,Bulandashahar,28.4069,77.8498
33,Uttar Pradesh,Pura Mahadeva (Bagpat),29.0002,77.2636
33,Uttar Pradesh,Mirzapur,24.9316896,82.6280163
33,Uttar Pradesh,Sitamarhi,26.6006,85.4913
33,Uttar Pradesh,Mahoba,25.3615938,79.706011
33,Uttar Pradesh,Sant Kabirnagar,26.7836,83.0666
33,Uttar Pradesh,Banda,25.4438537,80.5595237
33,Uttar Pradesh,Bateshwar,26.9353164,78.5435748
33,Uttar Pradesh,Devgarh,24.5241285,78.2357454
33,Uttar Pradesh,Jaunpur,25.7967065,82.4888992
33,Uttar Pradesh,Fatehpur Sikri,27.0911655,77.6623984
33,Uttar Pradesh,Siddharthnagar,27.2511723,82.8716528
33,Uttar Pradesh,Mujaffar Nagar,29.4726817,77.7085091
33,Uttar Pradesh,Sardhana,29.1486525,77.6362019
33,Uttar Pradesh,Gahamar (Kamakhya Devi Gazipur),25.5631,83.6622
33,Uttar Pradesh,Sonbhadra,24.4148159,83.0637517
33,Uttar Pradesh,Kalinjar,25.0129438,80.4826743
33,Uttar Pradesh,Baduon,28.0452,79.1266
33,Uttar Pradesh,Noida,28.5706333,77.3272147
33,Uttar Pradesh,Mahavan,27.3944734,77.8301578
33,Uttar Pradesh,Baharaich,27.9892785,81.5950298
33,Uttar Pradesh,Karadham,28.4497,77.5511
33,Uttar Pradesh,Devasharif,26.7892,82.1456
33,Uttar Pradesh,Ambedkarnagar,26.4361,82.5383
33,Uttar Pradesh,Basti,26.8387083,82.5350919
33,Uttar Pradesh,Kalindi Kunj,25.4254193,81.7839171
33,Uttar Pradesh,Shrangberpur,25.4317,81.8832
33,Uttar Pradesh,Kanpur (Nagar),26.4410107,80.2652803
33,Uttar Pradesh,Hindan,28.6737477,77.4103613
33,Uttar Pradesh,Rajapur,25.3863662,81.1494181
33,Uttar Pradesh,Dargah Sharif (Bahraich),27.5742,81.5941
33,Uttar Pradesh,Gautam Buddhnagar,28.4931,77.536
33,Uttar Pradesh,Magahar,26.7532,83.1247
33,Uttar Pradesh,Sultanput,25.8667,81.9167
33,Uttar Pradesh,Amrcha(Jyotibaphule Nagar),28.6127,78.1065
33,Uttar Pradesh,Barnavan (Bagpat),29.0541,77.2186
33,Uttar Pradesh,Shravasti,27.5083429,82.0263569
33,Uttar Pradesh,Balrampur,27.4476988,82.3956245
33,Uttar Pradesh,Dankaur (Gautam Buddhnagar),28.3531,77.5542
33,Uttar Pradesh,Golagokaran Nath,28.0782,80.4706
33,Uttar Pradesh,Shahjajanpur,27.881,79.9097
33,Uttar Pradesh,Sukar Chhetra,25.4172,81.8832
33,Uttar Pradesh,Kapilvastu (Piprahava),27.5292,83.0497
33,Uttar Pradesh,Muradabad,28.8386,78.7768
33,Uttar Pradesh,Durvasa Rishi Ashram,25.4317,81.8832
33,Uttar Pradesh,Pilibhit,28.4947158,80.1076122
33,Uttar Pradesh,Kaushambi,25.5342456,81.4493567
33,Uttar Pradesh,Bithoor,26.6008094,80.2722286
33,Uttar Pradesh,Majeetha (Barabanki),26.9386,81.1865
33,Uttar Pradesh,Kotawa Dham,26.9386,81.1865
33,Uttar Pradesh,Ausaneshwar Mahadev Mandir (Barabanki),26.9386,81.1865
33,Uttar Pradesh,Satarikh (Barabanki),26.9386,81.1865
33,Uttar Pradesh,Majhgavan Sharif,26.9386,81.1865
33,Uttar Pradesh,Kunteshwar Mahadeo Mandir (Barabanki),26.9386,81.1865
33,Uttar Pradesh,Belhadevi,25.8749594,84.1210329
33,Uttar Pradesh,Gonda,27.1103723,81.9238906
33,Uttar Pradesh,Faizabad,26.7807986,82.1486589
33,Uttar Pradesh,Rampur,28.7934728,79.1845806
33,Uttar Pradesh,Sankisa,27.5792,78.6508
33,Uttar Pradesh,Kannoj,27.0551,79.9226
33,Uttar Pradesh,Sitaword Santuri,27.5027,80.8335
33,Uttar Pradesh,Sonoli,27.5292,83.0497
33,Uttar Pradesh,Shaharanpur,29.9672,77.5452
33,Uttar Pradesh,Devranava Baba,25.4317,81.8832
33,Uttar Pradesh,Bijnaur,29.3724,78.135
33,Uttar Pradesh,Devaria,26.1209,83.9141
33,Uttar Pradesh,Ramabai Nagar (Kanpur Dehat),26.4158,79.9809
33,Uttar Pradesh,Barabanki,26.9421406,81.3856087
33,Uttar Pradesh,Khurja (Bulanda Shahar),28.2544,77.8544
33,Uttar Pradesh,Katraniyaghat (Baharaich),28.6167,81.0833
33,Uttar Pradesh,Baghel Talab (Baharaich),27.9892785,81.5950298
33,Uttar Pradesh,Pilkhuja (Panchsil Nagar),28.7536,77.6546
33,Uttar Pradesh,Kampil,27.6122765,79.2786561
33,Uttar Pradesh,Bhadhohi,25.3949,82.5664
33,Uttar Pradesh,Lakhimpuri Khiri,27.9534,80.7821
33,Uttar Pradesh,Hardoi,27.3369978,80.0998232
33,Uttar Pradesh,Dudhawa,28.6167,81.0833
33,Uttar Pradesh,Rae-Bareilly,26.2501953,81.3809567
33,Uttar Pradesh,Sitapur,27.5026747,80.8335139
33,Uttar Pradesh,Unnav,26.5477,80.4878
33,Uttar Pradesh,Nimsar,27.3172,80.5112
34,Uttarakhand,Haridwar,29.9384473,78.1452985
34,Uttarakhand,Rishikesh,30.1086537,78.2916193
34,Uttarakhand,Joshimath,30.5555752,79.5612607
34,Uttarakhand,Uttarkashi,30.9635733,78.6362521
34,Uttarakhand,Dehradun,30.3255646,78.0436813
34,Uttarakhand,Mussoorie,30.4569012,78.0782906
34,Uttarakhand,Narendranagar,30.160706,78.2853059
34,Uttarakhand,Nainital,29.3905295,79.460869
34,Uttarakhand,Rudraprayag,30.4915835,79.0366067
34,Uttarakhand,Gopeshwar,30.40878,79.31855
34,Uttarakhand,Kotdwar,29.7459823,78.5201358
34,Uttarakhand,Kathgodam,29.266646,79.5466346
34,Uttarakhand,Srinagar,30.2238064,78.7879045
34,Uttarakhand,Almora,29.7026509,79.4326318
34,Uttarakhand,Ranikhet,29.6323007,79.4154142
34,Uttarakhand,Pithoragarh,29.585871,80.215167
34,Uttarakhand,Pauri,30.0652314,78.7315716
34,Uttarakhand,Kausani,29.3375718,79.5047951
34,Uttarakhand,Champawat,29.235032,80.1023068
35,West Bengal,Kolkata,22.5726459,88.3638953
35,West Bengal,Digha/Mandermoni,21.6222,87.5186
35,West Bengal,Siliguri,26.7164127,88.4309916
35,West Bengal,Shantiniketan,23.682708,87.6880296
35,West Bengal,Tarakeswar,22.8823987,88.0142006
35,West Bengal,Tarapith,24.1151986,87.7968683
35,West Bengal,Gangasagar,21.6596899,88.0778598
35,West Bengal,Murshidabad,24.1745993,88.2721335
35,West Bengal,Nabadwip/Mayapur,23.4393087,88.3931099
35,West Bengal,Darjeeling,27.0377554,88.263176
35,West Bengal,Sankarpur,22.1680569,88.3070746
35,West Bengal,Howrah,22.5736296,88.3251045
35,West Bengal,Bakreswar,23.8300338,87.4523156
35,West Bengal,Malda,25.0057449,88.1398483
35,West Bengal,Burdwan,23.2495714,87.8681751
35,West Bengal,Durgapur,23.5350475,87.3380425
35,West Bengal,Cooch Behar,26.2559197,89.4201143
35,West Bengal,"Gour, Pandu and Adina",25.0033,88.1433
35,West Bengal,Haidia,21.8572,88.1106
35,West Bengal,Jaydev-Kenduli,23.6553,87.5292
35,West Bengal,Jairambati,22.9132,87.6722
35,West Bengal,Bishnupur,23.0757335,87.3146343
35,West Bengal,Dimond Harbour,22.1907,88.1818
35,West Bengal,Kamarpukur,22.898511,87.6574438
35,West Bengal,Asansol,23.6871297,86.9746587
35,West Bengal,Chandannagar,22.8639237,88.3703496
35,West Bengal,Mukutmonipur,23.2122,86.7651
35,West Bengal,Matihan,25.2372,87.8672
35,West Bengal,Madarihat (Jaldapara),26.6997,89.2766
35,West Bengal,Bankura,23.132377,87.2081925
35,West Bengal,Krishnagar,23.4011,88.5011
35,West Bengal,Bakkhali,21.5607689,88.2673165
35,West Bengal,Raignj (Kulik),25.6154,88.1248
35,West Bengal,Malbazar,26.8658935,88.7373863
35,West Bengal,Sajnekhali/Sunderbans,22.1116,88.7965
35,West Bengal,Gadiara,22.2224941,88.0474157
35,West Bengal,Chinsurah,22.8854687,88.3837126
35,West Bengal,Kalna,23.2211183,88.3591889
35,West Bengal,Basirhat-Taki,22.642647,88.8933417
35,West Bengal,Rasik Beel,26.4122,89.5532
35,West Bengal,Chalsa,26.8821508,88.7982502
35,West Bengal,Frazarganj,21.5632,88.2645
35,West Bengal,Barrackpore,22.7641623,88.3776088
35,West Bengal,Palassey,23.5986,88.2507
35,West Bengal,Antpur,22.7743811,88.0545221
35,West Bengal,Kalimpong,27.0702869,88.4723676
35,West Bengal,Phalut,27.208077,88.0156369
35,West Bengal,Sandakphu,27.1044365,88.000482
35,West Bengal,Mirik,26.8881872,88.1888396
35,West Bengal,Kurseong,26.8818268,88.2783637
35,West Bengal,Jhargram,22.4538505,86.9949477
35,West Bengal,Lolegaon,27.0204132,88.5650162
35,West Bengal,Lava,27.0859992,88.6604941
35,West Bengal,Rishop,27.0706,88.6132
35,West Bengal,Panchakot,23.6475085,86.8174076
35,West Bengal,Ayadhaya Hill,23.4858,86.6967
35,West Bengal,Duarseni,22.9512,86.7567
